iter	Passed	Remaining
674	38107	18348
675	38180	18299
676	38268	18258
677	38322	18200
678	38376	18142
679	38429	18084
680	38480	18025
681	38532	17966
682	38585	17908
683	38636	17849
684	38688	17791
685	38737	17731
686	38791	17673
687	38846	17616
688	38895	17556
689	38959	17503
690	39010	17444
691	39064	17387
692	39116	17328
693	39150	17262
694	39207	17206
695	39273	17153
696	39336	17100
697	39383	17040
698	39437	16982
699	39492	16925
700	39542	16866
701	39593	16807
702	39644	16748
703	39697	16691
704	39748	16632
705	39801	16574
706	39849	16514
707	39902	16456
708	39950	16397
709	39997	16337
710	40048	16278
711	40096	16218
712	40144	16159
713	40204	16104
714	40259	16047
715	40318	15992
716	40364	15931
717	40405	15869
718	40456	15811
719	40501	15750
720	40563	15696
721	40638	15647
722	40690	15589
723	40736	15529
724	40783	15469
725	40836	15412
726	40885	15353
727	40958	15303
728	41013	15246
729	41070	15190
730	41119	15131
731	41175	15075
732	41226	15017
733	41282	14960
734	41330	14901
735	41382	14843
736	41432	14785
737	41477	14724
738	41519	14663
739	41562	14603
740	41606	14542
741	41660	14485
742	41708	14426
743	41761	14369
744	41825	14315
745	41879	14259
746	41926	14199
747	41964	14137
748	42002	14075
749	42046	14015
750	42086	13954
751	42123	13891
752	42169	13832
753	42231	13778
754	42287	13722
755	42353	13669
756	42419	13616
757	42476	13561
758	42523	13502
759	42565	13441
760	42606	13381
761	42647	13320
762	42681	13257
763	42721	13196
764	42761	13135
765	42808	13077
766	42853	13018
767	42899	12959
768	42945	12900
769	42985	12839
770	43024	12778
771	43061	12717
772	43097	12656
773	43136	12595
774	43174	12534
775	43215	12474
776	43257	12415
777	43303	12356
778	43344	12296
779	43384	12236
780	43419	12175
781	43476	12120
782	43552	12070
783	43590	12009
784	43654	11956
785	43699	11897
786	43743	11839
787	43861	11800
788	43923	11746
789	43971	11688
790	44011	11628
791	44055	11570
792	44093	11509
793	44132	11450
794	44165	11388
795	44207	11329
796	44246	11269
797	44284	11209
798	44319	11149
799	44355	11088
800	44395	11029
801	44437	10970
802	44480	10912
803	44519	10852
804	44558	10793
805	44599	10734
806	44637	10675
807	44677	10616
808	44719	10557
809	44757	10498
810	44814	10443
811	44856	10385
812	44898	10327
813	44936	10268
814	44976	10209
815	45015	10150
816	45058	10092
817	45100	10034
818	45140	9976
819	45178	9917
820	45217	9858
821	45259	9800
822	45295	9741
823	45333	9682
824	45374	9624
825	45412	9566
826	45453	9508
827	45497	9451
828	45542	9394
829	45582	9336
830	45623	9278
831	45663	9220
832	45701	9162
833	45738	9103
834	45777	9045
835	45813	8987
836	45853	8929
837	45891	8871
838	45929	8813
839	45970	8756
840	46012	8699
841	46052	8641
842	46094	8584
843	46133	8527
844	46177	8470
845	46214	8412
846	46248	8354
847	46286	8296
848	46326	8239
849	46366	8182
850	46404	8124
851	46442	8067
852	46480	8010
853	46519	7952
854	46562	7896
855	46604	7840
856	46642	7782
857	46681	7725
858	46716	7668
859	46753	7611
860	46789	7553
861	46828	7496
862	46870	7440
863	46902	7382
864	46936	7325
865	46969	7267
866	47010	7211
867	47044	7154
868	47079	7097
869	47118	7040
870	47154	6983
871	47190	6926
872	47224	6870
873	47260	6813
874	47302	6757
875	47342	6701
876	47383	6645
877	47421	6589
878	47460	6533
879	47499	6477
880	47540	6421
881	47588	6366
882	47624	6310
883	47669	6255
884	47721	6201
885	47772	6146
886	47825	6092
887	47872	6037
888	47926	5984
889	47973	5929
890	48027	5875
891	48085	5821
892	48144	5768
893	48206	5715
894	48263	5662
895	48336	5610
